#
# Takin/Monteconvo version 2.6.0
# MC neutrons: 1000
# MC sample steps: 1
#
# h          k            l            E            S(Q,E)      
0.312121     0.312121     1            0.494949     0.225475    
0.312121     0.312121     1            0.505051     0.203801    
0.312121     0.312121     1            0.515152     0.170614    
0.312121     0.312121     1            0.525253     0.135951    
0.312121     0.312121     1            0.535354     0.123079    
0.312121     0.312121     1            0.545455     0.0904879   
0.312121     0.312121     1            0.555556     0.0803124   
0.312121     0.312121     1            0.565657     0.0584219   
0.312121     0.312121     1            0.575758     0.0492437   
0.312121     0.312121     1            0.585859     0.033934    
0.312121     0.312121     1            0.59596      0.0323975   
0.312121     0.312121     1            0.606061     0.0213724   
0.312121     0.312121     1            0.616162     0.0104814   
0.312121     0.312121     1            0.626263     0.0079353   
0.312121     0.312121     1            0.636364     0.00628457  
0.312121     0.312121     1            0.646465     0.00335795  
0.312121     0.312121     1            0.656566     0.00424756  
0.312121     0.312121     1            0.666667     0.000904069 
0.312121     0.312121     1            0.676768     0.000383429 
0.312121     0.312121     1            0.686869     0.00139904  
0.312121     0.312121     1            0.69697      0.000190385 
0.312121     0.312121     1            0.707071     3.24991e-05 
0.312121     0.312121     1            0.717172     7.22986e-06 
0.312121     0.312121     1            0.727273     8.17903e-07 
0.312121     0.312121     1            0.737374     1.36763e-07 
0.312121     0.312121     1            0.747475     1.1496e-05  
0.312121     0.312121     1            0.757576     4.79878e-06 
0.312121     0.312121     1            0.767677     1.08864e-06 
0.312121     0.312121     1            0.777778     2.5675e-05  
0.312121     0.312121     1            0.787879     6.82854e-10 
0.312121     0.312121     1            0.79798      3.59849e-16 
0.312121     0.312121     1            0.808081     6.37522e-16 
0.312121     0.312121     1            0.818182     2.21176e-17 
0.312121     0.312121     1            0.828283     1.76957e-09 
0.312121     0.312121     1            0.838384     1.24732e-14 
0.312121     0.312121     1            0.848485     1.76139e-28 
0.312121     0.312121     1            0.858586     1.58882e-30 
0.312121     0.312121     1            0.868687     3.31299e-16 
0.312121     0.312121     1            0.878788     3.5184e-42  
0.312121     0.312121     1            0.888889     3.38552e-22 
0.312121     0.312121     1            0.89899      9.3434e-32  
0.312121     0.312121     1            0.909091     8.58352e-44 
0.312121     0.312121     1            0.919192     2.79551e-40 
0.312121     0.312121     1            0.929293     4.95088e-41 
0.312121     0.312121     1            0.939394     1.37057e-33 
0.312121     0.312121     1            0.949495     8.88435e-50 
0.312121     0.312121     1            0.959596     5.06126e-30 
0.312121     0.312121     1            0.969697     1.71895e-50 
0.312121     0.312121     1            0.979798     2.04543e-66 
0.312121     0.312121     1            0.989899     2.69469e-43 
0.315152     0.315152     1            0            0.537704    
0.315152     0.315152     1            0.010101     0.514753    
0.315152     0.315152     1            0.020202     0.431995    
0.315152     0.315152     1            0.030303     0.358917    
0.315152     0.315152     1            0.040404     0.263121    
0.315152     0.315152     1            0.0505051    0.194496    
0.315152     0.315152     1            0.0606061    0.118253    
0.315152     0.315152     1            0.0707071    0.0658007   
0.315152     0.315152     1            0.0808081    0.0403357   
0.315152     0.315152     1            0.0909091    0.0212727   
0.315152     0.315152     1            0.10101      0.00728665  
0.315152     0.315152     1            0.111111     0.00519019  
0.315152     0.315152     1            0.121212     0.00110892  
0.315152     0.315152     1            0.131313     0.00101243  
0.315152     0.315152     1            0.141414     6.67042e-05 
0.315152     0.315152     1            0.151515     1.50766e-05 
0.315152     0.315152     1            0.161616     1.17094e-05 
0.315152     0.315152     1            0.171717     7.88544e-07 
0.315152     0.315152     1            0.181818     1.693e-08   
0.315152     0.315152     1            0.191919     1.07155e-07 
0.315152     0.315152     1            0.20202      2.46446e-10 
0.315152     0.315152     1            0.212121     2.32673e-09 
0.315152     0.315152     1            0.222222     1.12817e-08 
0.315152     0.315152     1            0.232323     6.69583e-06 
0.315152     0.315152     1            0.242424     2.82357e-07 
0.315152     0.315152     1            0.252525     6.72435e-06 
0.315152     0.315152     1            0.262626     1.42666e-05 
0.315152     0.315152     1            0.272727     0.000547701 
0.315152     0.315152     1            0.282828     0.000380942 
0.315152     0.315152     1            0.292929     0.00118225  
0.315152     0.315152     1            0.30303      0.00262161  
0.315152     0.315152     1            0.313131     0.00577416  
0.315152     0.315152     1            0.323232     0.0107121   
0.315152     0.315152     1            0.333333     0.0238457   
0.315152     0.315152     1            0.343434     0.0338424   
0.315152     0.315152     1            0.353535     0.0559549   
0.315152     0.315152     1            0.363636     0.0774954   
0.315152     0.315152     1            0.373737     0.100873    
0.315152     0.315152     1            0.383838     0.14477     
0.315152     0.315152     1            0.393939     0.171449    
0.315152     0.315152     1            0.40404      0.194508    
0.315152     0.315152     1            0.414141     0.233416    
0.315152     0.315152     1            0.424242     0.261804    
0.315152     0.315152     1            0.434343     0.274618    
0.315152     0.315152     1            0.444444     0.292125    
0.315152     0.315152     1            0.454545     0.264804    
0.315152     0.315152     1            0.464646     0.281984    
0.315152     0.315152     1            0.474747     0.269728    
0.315152     0.315152     1            0.484848     0.257967    
0.315152     0.315152     1            0.494949     0.214087    
0.315152     0.315152     1            0.505051     0.181508    
0.315152     0.315152     1            0.515152     0.159738    
0.315152     0.315152     1            0.525253     0.142508    
0.315152     0.315152     1            0.535354     0.129627    
0.315152     0.315152     1            0.545455     0.105468    
0.315152     0.315152     1            0.555556     0.0839399   
0.315152     0.315152     1            0.565657     0.0559704   
0.315152     0.315152     1            0.575758     0.0431329   
0.315152     0.315152     1            0.585859     0.0405021   
0.315152     0.315152     1            0.59596      0.0268173   
0.315152     0.315152     1            0.606061     0.0207323   
0.315152     0.315152     1            0.616162     0.0108413   
0.315152     0.315152     1            0.626263     0.0101536   
0.315152     0.315152     1            0.636364     0.00745969  
0.315152     0.315152     1            0.646465     0.00567309  
0.315152     0.315152     1            0.656566     0.00449486  
0.315152     0.315152     1            0.666667     0.00376794  
0.315152     0.315152     1            0.676768     0.00106266  
0.315152     0.315152     1            0.686869     0.00184753  
0.315152     0.315152     1            0.69697      0.000139439 
