Temperature (K)	HCTotal (uJ/K)	HCSample (µJ/K)	Field (Oe)
2,4659548	7,0506934	6,8797889	3999,659
2,469065	7,1535777	6,9821476	3999,659
2,4723806	6,1674217	5,9954302	3999,659
2,475675	6,6403706	6,4678203	3999,659
2,4783401	6,0065591	5,8335558	3999,659
2,4814774	5,7037742	5,5302368	3999,659
2,4839872	4,6651449	4,4911795	3999,659
2,4868236	4,5890314	4,4145815	3999,659
2,4889049	4,3142539	4,139448	3999,659
2,491573	3,5658124	3,3905494	3999,659
2,4939362	3,2050169	3,0293485	3999,659
2,4959873	2,606009	2,4299883	3999,659
2,4976337	2,4492203	2,2729164	3999,659
2,4994226	1,8990929	1,7224811	3999,659
2,5016252	1,1104162	0,9334248	3999,659
2,5028225	0,63852806	0,46133004	3999,659
2,5044215	-0,081537106	-0,25901123	3999,659
2,5056996	-0,64980937	-0,82750436	3999,659
2,507216	-1,7293615	-1,9073188	3999,659
0,72977544	17,303083	17,261678	5999,697
0,77835756	19,408679	19,368174	5999,697
0,82115804	21,361339	21,321419	5999,697
0,85967176	23,305291	23,265732	5999,697
0,89464353	25,237934	25,198565	5999,697
0,92660269	27,227154	27,187843	5999,697
0,95594775	29,265414	29,22606	5999,697
0,9829514	31,381719	31,342242	5999,697
1,0078182	33,728767	33,689108	5999,697
1,0307407	36,312095	36,272208	5999,697
1,051752	39,275894	39,235748	5999,697
1,0707925	43,140359	43,099936	5999,697
1,0878976	48,041583	48,000877	5999,697
1,1038348	51,939455	51,898457	5999,697
1,1192799	52,969305	52,927997	5999,697
1,1344592	51,146431	51,104793	5999,697
1,149798	47,656868	47,614869	5999,697
1,1657175	44,669527	44,627128	5999,697
1,1823995	43,50941	43,466561	5999,697
1,1993616	43,290749	43,24741	5999,697
1,2161805	43,419745	43,375889	5999,697
1,2328296	43,905861	43,861462	5999,697
1,2489975	44,86133	44,816374	5999,697
1,2648213	45,651458	45,605929	5999,697
1,2810881	44,401625	44,355477	5999,697
1,2982669	40,91441	40,867576	5999,697
1,316526	36,762374	36,714775	5999,697
1,3361312	32,769208	32,720744	5999,697
1,3573564	29,936955	29,887508	5999,697
1,3802083	28,24837	28,197805	5999,697
1,4040448	27,042728	26,990936	5999,697
1,4283924	26,064056	26,010942	5999,697
1,4534201	25,143119	25,088576	5999,697
1,4787889	24,331324	24,27526	5999,697
1,5045618	23,573161	23,515474	5999,697
1,5305488	22,912145	22,852745	5999,697
1,5568158	22,238936	22,177725	5999,697
1,5833418	21,70387	21,640749	5999,697
1,6098474	21,152917	21,087806	5999,697
1,6365855	20,588661	20,521459	5999,697
1,6632315	20,107917	20,03855	5999,697
1,6899177	19,699068	19,627449	5999,697
1,7164541	19,295362	19,221423	5999,697
1,7428637	18,925321	18,848993	5999,697
1,7691585	18,593877	18,515091	5999,697
1,7952054	18,150176	18,068876	5999,697
1,8210152	17,831242	17,747376	5999,697
1,8464446	17,574564	17,488095	5999,697
1,8717977	17,18955	17,100413	5999,697
1,8968026	16,869355	16,777516	5999,697
1,9214896	16,538331	16,443755	5999,697
1,9456539	16,236126	16,138805	5999,697
1,969544	15,966269	15,86617	5999,697
1,9931419	15,788677	15,685771	5999,697
2,0158964	15,629205	15,523534	5999,697
2,0382678	15,43565	15,327203	5999,697
2,0602061	15,130434	15,019213	5999,697
2,0816363	14,93871	14,824727	5999,697
2,1024905	14,710192	14,593472	5999,697
2,1227236	14,476163	14,356742	5999,697
2,14257	14,389476	14,267363	5999,697
2,1619486	14,170794	14,046011	5999,697
2,180738	13,838246	13,710834	5999,697
2,1990039	13,6131	13,483096	5999,697
2,2168197	13,341524	13,208956	5999,697
2,2339057	13,321873	13,186815	5999,697
2,2505641	13,280316	13,142798	5999,697
2,2665603	13,135227	12,99532	5999,697
2,2819499	12,923283	12,781052	5999,697
2,2967692	12,802831	12,658337	5999,697
2,3110126	12,506849	12,360158	5999,697
2,3249391	12,424721	12,275861	5999,697
2,3381134	12,397912	12,246981	5999,697
2,350719	12,338762	12,185831	5999,697
2,3630308	12,010559	11,85566	5999,697
2,374984	11,713867	11,557041	5999,697
2,386389	11,395759	11,23708	5999,697
2,3971262	11,321659	11,161223	5999,697
2,4076809	11,249569	11,087394	5999,697
2,4180343	11,070591	10,906699	5999,697
2,4276525	10,847351	10,681854	5999,697
2,4366389	10,745524	10,578518	5999,697
2,4452371	10,590201	10,421743	5999,697
2,4537222	10,63192	10,462022	5999,697
2,4616622	10,601522	10,430269	5999,697
2,4691366	10,099373	9,9268386	5999,697
2,4763051	9,7364664	9,5626981	5999,697
2,4835151	9,2986913	9,123676	5999,697
2,4902387	9,1753301	8,9991472	5999,697
2,4965993	9,0145247	8,8372328	5999,697
2,5025917	9,1118549	8,9335142	5999,697
2,5082038	9,0393118	8,8599856	5999,697
2,5136836	8,8633616	8,6830699	5999,697
2,5185747	8,459875	8,2787189	5999,697
2,5235084	7,9747553	7,7927246	5999,697
2,5279769	7,8264481	7,6436232	5999,697
2,5326049	7,3120267	7,128377	5999,697
2,5370766	6,7698566	6,5854079	5999,697
2,5411617	6,3181676	6,132987	5999,697
2,5451491	6,0829246	5,8970281	5999,697
2,5488828	5,585997	5,3994286	5999,697
2,5526448	5,5109575	5,3237106	5999,697
2,555731	5,4786411	5,2908364	5999,697
2,5586143	5,1366367	4,9483101	5999,697
2,5617426	4,274604	4,0857102	5999,697
2,5645882	3,7520282	3,5626175	5999,697
2,5670652	3,3399358	3,1500744	5999,697
2,5694206	2,8364338	2,6461433	5999,697
2,5719532	2,3764395	2,185687	5999,697
2,5744036	1,772177	1,5809769	5999,697
2,5764682	0,99153751	0,79995976	5999,697
2,5785961	0,32721571	0,13524827	5999,697
2,5803077	-0,24714027	-0,43942151	5999,697
2,5824216	-1,0646809	-1,2573501	5999,697
2,5842105	-1,911103	-2,1041009	5999,697
2,58579	-2,7465119	-2,9398003	5999,697
2,5872145	-3,4505925	-3,644143	5999,697
2,5886977	-3,6183147	-3,8121386	5999,697
2,5903114	-6,3043881	-6,4985094	5999,697
2,5916936	-5,7536374	-5,9480138	5999,697
2,5929126	-6,9096048	-7,1042063	5999,697
2,5940207	-9,1056446	-9,3004509	5999,697
2,5949157	-14,750067	-14,945039	5999,697
0,7415327	17,451136	17,409942	7999,757
0,79046789	19,63152	19,591184	7999,757
0,833471	21,679226	21,639433	7999,757
0,87206033	23,708785	23,669312	7999,757
0,90699025	25,738384	25,699061	7999,757
0,93882389	27,846182	27,806882	7999,757
0,96797955	30,01374	29,974365	7999,757
0,99471553	32,315561	32,276035	7999,757
1,0192656	34,879682	34,839949	7999,757
1,0416982	37,833934	37,793955	7999,757
1,0619205	41,698171	41,657922	7999,757
1,0803125	46,117766	46,077233	7999,757
1,0976607	48,94625	48,905414	7999,757
1,1144079	49,352924	49,311765	7999,757
1,1309096	47,577823	47,536315	7999,757
1,1475226	44,861748	44,819858	7999,757
1,1646961	43,105262	43,062944	7999,757
1,1824234	42,630717	42,587924	7999,757
1,2001565	42,537341	42,494039	7999,757
1,2176939	42,812145	42,768302	7999,757
1,2348711	43,477877	43,433473	7999,757
1,2515737	44,488707	44,443726	7999,757
1,2679475	45,393734	45,348156	7999,757
1,2847475	44,094345	44,048123	7999,757
1,3023472	40,753097	40,706166	7999,757
1,3210701	36,586817	36,539094	7999,757
1,3411989	32,766767	32,718147	7999,757
1,3629983	29,911078	29,861436	7999,757
1,3864012	28,22392	28,17312	7999,757
1,4107202	27,00342	26,951351	7999,757
1,4357323	26,010503	25,957057	7999,757
1,4612798	25,154249	25,099324	7999,757
1,4872868	24,35152	24,295011	7999,757
1,5135678	23,596082	23,537893	7999,757
1,5401702	22,885617	22,825647	7999,757
1,5670417	22,2546	22,192747	7999,757
1,5940507	21,705837	21,642007	7999,757
1,6212479	21,146253	21,080345	7999,757
1,6485095	20,585759	20,517682	7999,757
1,6757192	20,159671	20,089343	7999,757
1,7030187	19,65067	19,577997	7999,757
1,730107	19,27202	19,196934	7999,757
1,7571953	18,891403	18,81382	7999,757
1,7839878	18,538421	18,458285	7999,757
1,8105963	18,138379	18,055626	7999,757
1,8370881	17,811779	17,726339	7999,757
1,8630833	17,462001	17,373848	7999,757
1,8890185	17,132359	17,041422	7999,757
1,9144749	16,816352	16,722608	7999,757
1,9397001	16,518831	16,422234	7999,757
1,9644345	16,248184	16,148718	7999,757
1,988757	15,955732	15,853379	7999,757
2,0126869	15,762472	15,657214	7999,757
2,036003	15,526326	15,418175	7999,757
2,0589893	15,272322	15,16126	7999,757
2,0814093	14,989324	14,875366	7999,757
2,1032445	14,825532	14,7087	7999,757
2,1246148	14,571305	14,451608	7999,757
2,1454037	14,398299	14,275768	7999,757
2,1657118	14,230681	14,105336	7999,757
2,185295	14,048009	13,919906	7999,757
2,2044159	13,768013	13,637177	7999,757
2,222918	13,695909	13,562391	7999,757
2,2408151	13,484193	13,348044	7999,757
2,2582926	13,260014	13,121263	7999,757
2,275068	13,082788	12,941507	7999,757
2,2913627	12,941507	12,797741	7999,757
2,3069034	12,767412	12,621248	7999,757
2,3221149	12,653164	12,504628	7999,757
2,3366056	12,577998	12,427179	7999,757
2,3504961	12,368851	12,215822	7999,757
2,3639341	12,210081	12,054896	7999,757
2,376845	11,99072	11,833443	7999,757
2,3893651	11,794158	11,634836	7999,757
2,4012815	11,562213	11,400929	7999,757
2,4126408	11,58359	11,420422	7999,757
2,4235139	11,52011	11,355126	7999,757
2,4340275	11,322132	11,15538	7999,757
2,4439527	11,21282	11,044387	7999,757
2,4533854	10,991655	10,821616	7999,757
2,4626339	10,498465	10,326841	7999,757
2,4715978	10,276122	10,102954	7999,757
2,4800755	10,160603	9,9859667	7999,757
2,4883	9,6765105	9,5004425	7999,757
2,4959335	9,818332	9,6409288	7999,757
2,5031876	10,051113	9,8724352	7999,757
2,5101028	9,6487041	9,468806	7999,757
2,5165965	9,4626225	9,281574	7999,757
2,523004	9,0934209	8,9112329	7999,757
2,5283955	9,0522899	8,8691396	7999,757
2,5341953	8,7582228	8,574034	7999,757
2,5396013	8,787709	8,6025491	7999,757
2,5448818	7,8476181	7,6615067	7999,757
2,5497033	7,7054017	7,5184188	7999,757
2,5542077	7,0958535	6,9080543	7999,757
2,5590549	7,0816312	6,8929512	7999,757
2,5631088	6,9714889	6,7820703	7999,757
2,5673069	6,7010138	6,5108286	7999,757
2,5706737	6,3019653	6,111164	7999,757
2,5743267	6,0409833	5,849512	7999,757
2,5778041	5,4548286	5,2627183	7999,757
2,5809544	4,8313254	4,6386352	7999,757
2,5840903	4,575241	4,3819724	7999,757
2,5869413	3,8813538	3,6875586	7999,757
2,589914	3,5310545	3,3367092	7999,757
2,5925261	3,1229681	2,9281386	7999,757
2,5949878	2,4728949	2,2776085	7999,757
2,5972813	1,9666198	1,7709072	7999,757
2,5995507	1,380914	1,1847791	7999,757
2,601592	0,74904965	0,5525344	7999,757
2,6035988	0,03868296	-0,15820661	7999,757
2,6055357	-0,68404561	-0,88129686	7999,757
