#
# Takin/Monteconvo version 2.6.0
# MC neutrons: 1000
# MC sample steps: 1
#
# h          k            l            E            S(Q,E)      
0.215        0.215        1            0.31         1.40803e-20 
0.215        0.215        1            0.32         1.30125e-21 
0.215        0.215        1            0.33         6.56736e-23 
0.215        0.215        1            0.34         2.97725e-20 
0.215        0.215        1            0.35         1.68905e-17 
0.215        0.215        1            0.36         4.4648e-16  
0.215        0.215        1            0.37         1.95403e-15 
0.215        0.215        1            0.38         3.06344e-14 
0.215        0.215        1            0.39         2.55914e-13 
0.215        0.215        1            0.4          1.23248e-10 
0.215        0.215        1            0.41         6.36523e-12 
0.215        0.215        1            0.42         4.01571e-10 
0.215        0.215        1            0.43         2.04911e-09 
0.215        0.215        1            0.44         7.3725e-09  
0.215        0.215        1            0.45         1.2092e-08  
0.215        0.215        1            0.46         1.36698e-07 
0.215        0.215        1            0.47         3.42721e-07 
0.215        0.215        1            0.48         9.44807e-07 
0.215        0.215        1            0.49         2.04665e-06 
0.215        0.215        1            0.5          5.75459e-06 
0.215        0.215        1            0.51         1.14867e-05 
0.215        0.215        1            0.52         2.84602e-05 
0.215        0.215        1            0.53         4.81278e-05 
0.215        0.215        1            0.54         8.89229e-05 
0.215        0.215        1            0.55         0.000155546 
0.215        0.215        1            0.56         0.000217438 
0.215        0.215        1            0.57         0.000317016 
0.215        0.215        1            0.58         0.000425663 
0.215        0.215        1            0.59         0.000534319 
0.215        0.215        1            0.6          0.000608959 
0.215        0.215        1            0.61         0.000619038 
0.215        0.215        1            0.62         0.000644627 
0.215        0.215        1            0.63         0.000613451 
0.215        0.215        1            0.64         0.000505921 
0.215        0.215        1            0.65         0.000428189 
0.215        0.215        1            0.66         0.000339788 
0.215        0.215        1            0.67         0.000238325 
0.215        0.215        1            0.68         0.000163313 
0.215        0.215        1            0.69         0.000102998 
0.215        0.215        1            0.7          5.83613e-05 
0.215        0.215        1            0.71         3.57274e-05 
0.215        0.215        1            0.72         1.68341e-05 
0.215        0.215        1            0.73         8.97113e-06 
0.215        0.215        1            0.74         3.74381e-06 
0.215        0.215        1            0.75         2.11534e-06 
0.215        0.215        1            0.76         1.70444e-06 
0.215        0.215        1            0.77         4.87153e-07 
0.215        0.215        1            0.78         6.25998e-08 
0.215        0.215        1            0.79         3.07849e-07 
